iter	Logloss
0	0.6670190234
1	0.6423575293
2	0.6198203092
3	0.5985991634
4	0.5791184961
5	0.5609205794
6	0.5441932031
7	0.528200026
8	0.5136140397
9	0.5001828418
10	0.4874199219
11	0.475866276
12	0.4647149219
13	0.4543576758
14	0.4447886589
15	0.4359767187
16	0.4276824609
17	0.4199519759
18	0.4125930241
19	0.4060543555
20	0.3994030892
21	0.3932917643
22	0.3878180111
23	0.3825488346
24	0.3775304297
25	0.3729525195
26	0.3688208366
27	0.3650742122
28	0.3614518359
29	0.3577736165
30	0.3544465072
31	0.3513241178
32	0.3483998047
33	0.3455747754
34	0.3429119954
35	0.340381224
36	0.3380755534
37	0.3358823698
38	0.3337514974
39	0.3317848763
40	0.329899515
41	0.3281271387
42	0.3264643978
43	0.3249266846
44	0.3233789062
45	0.3219524316
46	0.3205924316
47	0.31937236
48	0.3181059082
49	0.3168926563
50	0.3157459538
51	0.3145938542
52	0.313587277
53	0.3125796533
54	0.3116137956
55	0.3107415723
56	0.3098948568
57	0.3090814958
58	0.3082734277
59	0.3075184375
60	0.3067888607
61	0.3060362516
62	0.3053285303
63	0.3046739258
64	0.304051377
65	0.3034203255
66	0.3028651302
67	0.3022987142
68	0.3017462744
69	0.3011989225
70	0.3006741178
71	0.3001811686
72	0.2996929688
73	0.299250651
74	0.2987520671
75	0.2982637158
76	0.2978218424
77	0.297396888
78	0.29697361
79	0.2965461003
80	0.2961269824
81	0.2956951579
82	0.2952786475
83	0.2948629411
84	0.2944636572
85	0.2940824984
86	0.2937244548
87	0.2933734717
88	0.2930229492
89	0.292686665
90	0.2923428223
91	0.2919774137
92	0.2916379834
93	0.2913156315
94	0.2909911995
95	0.290693195
96	0.2903673796
97	0.2900848796
98	0.2897642139
99	0.2894618555
100	0.2891516439
101	0.2888243538
102	0.2885282975
103	0.2882125977
104	0.2879329232
105	0.2876516113
106	0.2873623063
107	0.2870624137
108	0.2867820101
109	0.2865212272
110	0.2862369889
111	0.2859554834
112	0.2856984391
113	0.2854164062
114	0.2851334684
115	0.2848566797
116	0.2845701774
117	0.2843062923
118	0.2840193359
119	0.2837602816
120	0.283496359
121	0.2832381055
122	0.2829840885
123	0.2827387858
124	0.2824982422
125	0.2822405908
126	0.2819839681
127	0.2817253695
128	0.2814828402
129	0.2812501188
130	0.2810206641
131	0.2807990641
132	0.2805706185
133	0.2803500423
134	0.2801213151
135	0.2798822624
136	0.2796460579
137	0.2794189079
138	0.2791942936
139	0.2789648665
140	0.278725472
141	0.2785087288
142	0.2782819434
143	0.2780534847
144	0.2778273145
145	0.2776251172
146	0.2773885498
147	0.2771825016
148	0.2769533561
149	0.2767368945
150	0.2765295443
151	0.2763244548
152	0.2761116357
153	0.2758972119
154	0.2757102132
155	0.275507653
156	0.2753107438
157	0.2750905859
158	0.2748775618
159	0.2746747021
160	0.2744618538
161	0.2742346484
162	0.2740232487
163	0.2738222754
164	0.2735993978
165	0.2734061035
166	0.2732176107
167	0.2730200179
168	0.2728103385
169	0.2726289079
170	0.2724535531
171	0.2722541699
172	0.2720722884
173	0.2718833838
174	0.2716805306
175	0.2714882438
176	0.2712878988
177	0.2711047998
178	0.2709199756
179	0.2707307699
180	0.2705514437
181	0.2703508122
182	0.2701603353
183	0.2699840609
184	0.2697879508
185	0.2696039486
186	0.2694160433
187	0.2692485059
188	0.2690587972
189	0.2688820101
190	0.2687092269
191	0.268537264
192	0.2683610824
193	0.2681742318
194	0.2680001383
195	0.2678095833
196	0.2676102913
197	0.2674307243
198	0.267265835
199	0.2670998975
200	0.2669331885
201	0.2667528141
202	0.2665830485
203	0.2664125505
204	0.2662416927
205	0.2660647314
206	0.2658953743
207	0.2657322445
208	0.2655682389
209	0.2654074544
210	0.2652429102
211	0.2650759814
212	0.2648943636
213	0.2647193424
214	0.2645452181
215	0.2643832747
216	0.2642237793
217	0.2640481185
218	0.2638949284
219	0.2637379508
220	0.2635635238
221	0.2634221582
222	0.2632713444
223	0.2630979915
224	0.2629421631
225	0.2627826188
226	0.262635721
227	0.2624824268
228	0.2623222965
229	0.2621672819
230	0.2620194873
231	0.2618656445
232	0.2617133366
233	0.2615587272
234	0.2614097786
235	0.2612563021
236	0.2611070785
237	0.2609449707
238	0.2607990104
239	0.2606433219
240	0.2604859814
241	0.2603386149
242	0.260186639
243	0.2600296094
244	0.2598897249
245	0.2597450977
246	0.2595890023
247	0.2594491602
248	0.2593149951
249	0.2591786979
250	0.2590289111
251	0.2588965918
252	0.2587569222
253	0.2586211003
254	0.2584806055
255	0.2583401953
256	0.2582113656
257	0.2580816309
