iter	Passed	Remaining
400	14982	97104
401	15022	97087
402	15058	97041
403	15097	97010
404	15138	97000
405	15179	96986
406	15218	96958
407	15255	96917
408	15307	96973
409	15343	96922
410	15386	96922
411	15424	96891
412	15463	96859
413	15502	96836
414	15543	96819
415	15579	96771
416	15613	96712
417	15650	96676
418	15689	96643
419	15723	96586
420	15760	96545
421	15799	96518
422	15835	96474
423	15875	96453
424	15914	96421
425	15952	96386
426	15992	96368
427	16030	96331
428	16074	96335
429	16117	96331
430	16152	96277
431	16189	96237
432	16227	96205
433	16263	96157
434	16297	96101
435	16336	96068
436	16374	96038
437	16407	95974
438	16449	95963
439	16482	95899
440	16521	95868
441	16560	95842
442	16600	95820
443	16640	95792
444	16675	95740
445	16714	95712
446	16752	95678
447	16789	95637
448	16827	95606
449	16867	95582
450	16902	95532
451	16952	95563
452	16989	95525
453	17031	95509
454	17068	95468
455	17101	95409
456	17135	95353
457	17174	95324
458	17209	95271
459	17248	95241
460	17287	95213
461	17325	95177
462	17360	95126
463	17394	95068
464	17431	95028
465	17473	95019
466	17511	94983
467	17549	94947
468	17584	94898
469	17619	94846
470	17656	94805
471	17691	94752
472	17725	94700
473	17765	94671
474	17802	94633
475	17835	94574
476	17868	94514
477	17907	94481
478	17942	94432
479	17976	94374
480	18012	94333
481	18046	94275
482	18085	94244
483	18118	94184
484	18156	94153
485	18193	94113
486	18229	94066
487	18266	94029
488	18304	93991
489	18344	93967
490	18378	93914
491	18415	93872
492	18451	93830
493	18488	93788
494	18526	93754
495	18563	93716
496	18605	93703
497	18643	93668
498	18682	93636
499	18717	93586
500	18753	93543
501	18788	93493
502	18825	93455
503	18869	93451
504	18911	93435
505	18951	93408
506	18990	93379
507	19034	93376
508	19072	93339
509	19111	93311
510	19154	93299
511	19189	93248
512	19222	93188
513	19261	93158
514	19294	93099
515	19329	93050
516	19369	93027
517	19410	93004
518	19446	92959
519	19480	92905
520	19520	92883
521	19562	92866
522	19600	92831
523	19638	92796
524	19676	92762
525	19714	92725
526	19754	92698
527	19788	92645
528	19823	92597
529	19863	92569
530	19898	92522
531	19936	92487
532	19974	92451
533	20019	92450
534	20059	92421
535	20095	92377
536	20130	92330
537	20169	92300
538	20207	92262
539	20245	92230
540	20283	92194
541	20343	92259
542	20394	92283
543	20435	92258
544	20478	92248
545	20522	92237
546	20564	92219
547	20605	92199
548	20652	92200
549	20697	92195
550	20741	92186
551	20783	92168
552	20831	92177
553	20874	92162
554	20915	92139
